REPORT_DAT,OFFENSE,METHOD,BLOCK,DISTRICT,WARD,ANC,BLOCK_GROUP,CENSUS_TRACT,XBLOCK,YBLOCK
10/5/2015 1:01,ASSAULT W/DANGEROUS WEAPON,GUN,2804 - 2898 BLOCK OF BLADENSBURG ROAD NE,5,5,5C,011100 1,11100,403153.81,139839.71
10/2/2015 15:30,BURGLARY,OTHERS,1522 - 1599 BLOCK OF GIRARD STREET NE,5,5,5B,009301 3,9301,401513,139895
10/5/2015 8:55,THEFT/OTHER,OTHERS,3639 - 3649 BLOCK OF GEORGIA AVENUE NW,4,1,1A,003100 1,3100,397904,140846
10/5/2015 8:56,THEFT/OTHER,OTHERS,1500 1699  BLOCK OF ALABAMA AVENUE SE,7,8,8E,007304 1,7304,401601,130970
10/4/2015 19:00,THEFT/OTHER,OTHERS,3300 - 3399 BLOCK OF BROTHERS PLACE SE,7,8,8C,010400 1,10400,399695,130571
10/5/2015 10:25,ASSAULT W/DANGEROUS WEAPON,KNIFE,900 - 999 BLOCK OF 23RD STREET NW,2,2,2A,005600 4,5600,395652,137055
10/5/2015 9:30,THEFT F/AUTO,OTHERS,1300 1899  BLOCK OF SOUTHERN AVENUE SE,7,8,8E,,,401637,129905
10/5/2015 7:45,BURGLARY,OTHERS,4321 - 4498 BLOCK OF 16TH STREET NE,4,5,5B,009503 2,9503,401417,141693
10/3/2015 17:00,THEFT F/AUTO,OTHERS,4619 4699  BLOCK OF KENMORE DRIVE NW,2,3,3D,000802 1,802,392311,138329
10/5/2015 13:20,THEFT/OTHER,OTHERS,1600 - 1699 BLOCK OF L STREET NW,2,2,2B,010700 1,10700,396745,137321
10/2/2015 10:30,THEFT F/AUTO,OTHERS,900 - 902 BLOCK OF 6TH STREET NW,1,2,2C,005800 2,5800,398273,137035
10/5/2015 8:20,THEFT/OTHER,OTHERS,2300 - 3955 BLOCK OF EAST CAPITOL STREET,6,7,7F,009604 1,9604,403638.94,135772.42
10/2/2015 13:30,THEFT/OTHER,OTHERS,1218 - 1299 BLOCK OF CONNECTICUT AVENUE NW,2,2,2B,010700 2,10700,396372,137666
10/5/2015 15:32,THEFT F/AUTO,OTHERS,7600  - 7699 BLOCK OF GEORGIA AVENUE NW,4,4,4A,001600 2,1600,397699,146051
10/5/2015 14:48,BURGLARY,OTHERS,2600 - 2699 BLOCK OF 17TH STREET NE,5,5,5C,009102 1,9102,401668,139566
10/5/2015 15:11,THEFT F/AUTO,OTHERS,1100 - 1199 BLOCK OF 50TH PLACE NE,6,7,7C,007806 1,7806,406103,137503
10/5/2015 17:12,THEFT F/AUTO,OTHERS,1400 - 1499 BLOCK OF 17TH STREET NW,2,2,2B,005301 3,5301,396661,137923
10/5/2015 16:58,ASSAULT W/DANGEROUS WEAPON,OTHERS,4916 - 5067 BLOCK OF JAY STREET NE,6,7,7C,007809 1,7809,406139,137111
10/5/2015 17:35,THEFT/OTHER,OTHERS,1 - 7 BLOCK OF DUPONT CIRCLE NW,2,2,2B,005500 5,5500,396171,137945
10/5/2015 17:48,THEFT/OTHER,OTHERS,900 - 999 BLOCK OF 4TH STREET NE,1,6,6C,010600 2,10600,399950,137118
10/5/2015 17:45,THEFT/OTHER,OTHERS,1200 - 1237 BLOCK OF WISCONSIN AVENUE NW,2,2,2E,000202 3,202,394550,137528
9/19/2015 15:00,THEFT/OTHER,OTHERS,700 - 899 BLOCK OF 2ND STREET NE,1,6,6C,010600 2,10600,399692.79,136918.38
9/19/2015 17:42,THEFT/OTHER,OTHERS,500 - 799 BLOCK OF RHODE ISLAND AVENUE NE,5,5,5E,009204 2,9204,400246,139229
9/19/2015 18:00,THEFT F/AUTO,OTHERS,300 - 399 BLOCK OF 7TH STREET SW,1,6,6D,010200 2,10200,398099.0818,135264.1045
9/19/2015 19:56,THEFT F/AUTO,OTHERS,M STREET SW AND 3RD STREET SW,1,6,6D,010500 1,10500,398680.2848,134292.1837
9/19/2015 20:06,ASSAULT W/DANGEROUS WEAPON,KNIFE,2942 - 2999 BLOCK OF NELSON PLACE SE,6,7,7B,007709 2,7709,403014,134210
9/19/2015 17:00,THEFT F/AUTO,OTHERS,800 - 899 BLOCK OF H R DRIVE SE,7,8,8E,009700 2,9700,400695,129114
9/19/2015 21:00,THEFT F/AUTO,OTHERS,M STREET SW AND MAINE AVENUE SW,1,6,6D,010200 2,10200,398274.5194,134292.5276
9/19/2015 23:25,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF 2ND STREET NE,5,6,6C,010600 2,10600,399695,137774
9/19/2015 20:00,ROBBERY,GUN,JUST STREET NE AND DIVISION AVENUE NE,6,7,7C,007807 2,7807,406589.88,137228.32
9/20/2015 0:30,ROBBERY,OTHERS,1900 - 1999 BLOCK OF F STREET NW,2,2,2A,010800 2,10800,396166,136612
9/19/2015 23:45,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF I STREET NW,2,2,2C,010100 1,10100,397154,137053
9/20/2015 6:23,THEFT F/AUTO,OTHERS,3600 - 3699 BLOCK OF 14TH STREET NW,4,1,1A,002801 2,2801,397162,140976
9/19/2015 21:00,THEFT F/AUTO,OTHERS,2400 - 2499 BLOCK OF 32ND STREET SE,6,7,7B,007603 2,7603,403341,132461
9/20/2015 13:30,THEFT/OTHER,OTHERS,4000 - 4299 BLOCK OF CATHEDRAL AVENUE NW,2,3,3D,000801 3,801,392960,140270
9/21/2015 17:00,MOTOR VEHICLE THEFT,OTHERS,2600 - 2699 BLOCK OF 16TH STREET NW,3,1,1C,003800 3,3800,396835,139570
9/22/2015 15:13,ASSAULT W/DANGEROUS WEAPON,KNIFE,2732 - 2899 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,8,8C,010400 2,10400,400335,131003
9/22/2015 16:40,THEFT/OTHER,OTHERS,3800 - 3899 BLOCK OF 12TH STREET NE,5,5,5B,009504 1,9504,400798,140980
9/22/2015 16:35,THEFT/OTHER,OTHERS,400 - 457 BLOCK OF MASSACHUSETTS AVENUE NW,1,2,2C,005900 1,5900,398508,136963
9/22/2015 13:00,MOTOR VEHICLE THEFT,OTHERS,2000 - 2061 BLOCK OF E STREET NE,5,7,7D,007903 1,7903,402110,136474
9/21/2015 23:00,THEFT F/AUTO,OTHERS,710 - 799 BLOCK OF VIRGINIA AVENUE SE,1,6,6B,007200 2,7200,400405,134497
9/22/2015 1:00,BURGLARY,OTHERS,1300 - 1399 BLOCK OF K STREET SE,1,6,6B,007100 1,7100,401135,134507
9/22/2015 20:36,MOTOR VEHICLE THEFT,OTHERS,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,5,5,5C,009102 2,9102,400840,139142
9/22/2015 20:05,BURGLARY,OTHERS,500 - 599 BLOCK OF 8TH STREET NE,1,6,6C,008302 1,8302,400437,136541
9/22/2015 0:00,HOMICIDE,GUN,1400 - 1499 BLOCK OF V STREET NW,3,1,1B,004300 1,4300,397117.25,138916.67
9/23/2015 5:28,ASSAULT W/DANGEROUS WEAPON,GUN,200 - 299 BLOCK OF 50TH STREET NE,6,7,7C,007804 2,7804,406071,136119
9/23/2015 6:00,ROBBERY,OTHERS,8TH STREET SE AND C STREET SE,1,6,6B,006700 3,6700,400436.88,135354.32
9/23/2015 9:44,ASSAULT W/DANGEROUS WEAPON,OTHERS,1 - 99 BLOCK OF CHESAPEAKE STREET SW,7,8,8D,009807 2,9807,399271,129037
9/23/2015 10:08,THEFT/OTHER,OTHERS,3100 - 3199 BLOCK OF PENNSYLVANIA AVENUE SE,6,7,7B,007604 3,7604,403320,133558
9/23/2015 11:00,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF INDEPENDENCE AVENUE SE,1,6,6B,006700 1,6700,401135.3952,135527.9554
9/23/2015 11:12,THEFT F/AUTO,OTHERS,6500  - 6599 BLOCK OF 7TH PLACE NW,4,4,4B,001901 4,1901,397978,144595
9/20/2015 9:01,THEFT F/AUTO,OTHERS,2200 - 2299 BLOCK OF MINNESOTA AVENUE SE,6,8,8A,007601 1,7601,402248,133774
9/20/2015 10:27,THEFT F/AUTO,OTHERS,2800 - 2899 BLOCK OF NEW MEXICO AVENUE NW,2,3,3B,000801 3,801,392884.2,139893.81
9/19/2015 13:00,THEFT F/AUTO,OTHERS,900  - 999 BLOCK OF SHEPHERD STREET NW,4,4,4C,002502 1,2502,397725,141317
9/20/2015 14:00,THEFT/OTHER,OTHERS,1500 - 1599 BLOCK OF 8TH STREET NW,3,6,6E,004901 2,4901,398010,138058
9/20/2015 14:20,THEFT/OTHER,OTHERS,1817 - 1942 BLOCK OF GOOD HOPE ROAD SE,7,8,8A,007504 1,7504,401901,133068
9/19/2015 19:00,THEFT F/AUTO,OTHERS,NICHOLSON STREET NW AND 14TH STREET NW,4,4,4A,002001 1,2001,397102.9593,143590.6145
9/20/2015 14:52,ROBBERY,OTHERS,5500 - 5530 BLOCK OF CONNECTICUT AVENUE NW,2,3,3G,001100 1,1100,393518,143962
10/1/2015 9:00,THEFT/OTHER,OTHERS,800 - 899 BLOCK OF RHODE ISLAND AVENUE NW,3,6,6E,004901 1,4901,397965,138214
10/5/2015 19:00,THEFT/OTHER,OTHERS,AINGER PLACE SE AND ALABAMA AVENUE SE,7,8,8B,007408 1,7408,402606.34,132001.63
10/5/2015 9:00,THEFT/OTHER,OTHERS,4700 - 4721 BLOCK OF SHERIFF ROAD NE,6,7,7C,007809 2,7809,405623,137221
10/5/2015 21:08,ASSAULT W/DANGEROUS WEAPON,GUN,2700 - 2799 BLOCK OF 7TH STREET NE,5,5,5E,009204 1,9204,400331,139718
10/5/2015 22:35,ROBBERY,GUN,5200 - 5355 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,6,7,7C,007807 2,7807,406552,136724
10/5/2015 23:47,THEFT/OTHER,OTHERS,2200 2305  BLOCK OF PENNSYLVANIA AVENUE SE,6,7,7B,007601 1,7601,402357,134072
10/5/2015 20:55,THEFT/OTHER,OTHERS,700 - 799 BLOCK OF FLORIDA AVENUE NE,5,6,6C,010600 1,10600,400387,137463
10/5/2015 23:53,ROBBERY,OTHERS,1900 - 1999 BLOCK OF Q STREET NW,2,2,2B,004202 1,4202,396169,138141
10/6/2015 2:31,THEFT F/AUTO,OTHERS,1840 1897  BLOCK OF MONTANA AVENUE NE,5,5,5C,009102 2,9102,401876,138960
10/6/2015 7:39,THEFT/OTHER,OTHERS,900 - 999 BLOCK OF F STREET NW,1,2,2C,005800 1,5800,397834,136610
10/5/2015 15:15,THEFT/OTHER,OTHERS,4180 - 4530 BLOCK OF LIVINGSTON ROAD SE,7,8,8D,009810 1,9810,399688,128741
10/5/2015 12:56,THEFT/OTHER,OTHERS,1325 - 1399 BLOCK OF PARK ROAD NW,3,1,1A,003000 1,3000,397241,140302
10/6/2015 11:15,THEFT/OTHER,OTHERS,3036 - 3099 BLOCK OF M STREET NW,2,2,2E,000100 4,100,394737,137483
10/5/2015 13:00,MOTOR VEHICLE THEFT,OTHERS,500 - 599 BLOCK OF G STREET SE,1,6,6B,007000 1,7000,400088,134826
10/6/2015 0:00,THEFT/OTHER,OTHERS,200 - 299 BLOCK OF ANACOSTIA AVENUE NE,6,7,7D,009604 1,9604,403389,136114
10/2/2015 23:30,THEFT/OTHER,OTHERS,200 - 299 BLOCK OF 2ND STREET NW,1,6,6C,005900 1,5900,398817,136100
10/6/2015 11:15,THEFT F/AUTO,OTHERS,3400 - 3499 BLOCK OF RODMAN STREET NW,2,3,3C,000600 4,600,394129,141246
10/6/2015 9:00,THEFT F/AUTO,OTHERS,2100 - 2199 BLOCK OF 5TH STREET NW,3,1,1B,003400 2,3400,398350.83,138987.55
10/4/2015 7:00,THEFT F/AUTO,OTHERS,4300 - 4399 BLOCK OF 12TH STREET SE,7,8,8E,009700 1,9700,401201,129546
10/6/2015 14:30,THEFT F/AUTO,OTHERS,1500 - 1599 BLOCK OF L STREET NW,2,2,2B,010100 2,10100,396915.75,137320.96
10/4/2015 16:30,THEFT/OTHER,OTHERS,1224 - 1299 BLOCK OF WISCONSIN AVENUE NW,2,2,2E,000202 3,202,394548,137621
9/20/2015 12:45,ROBBERY,OTHERS,2300 - 2399 BLOCK OF 15TH PLACE SE,7,8,8A,007407 2,7407,401233,132212
9/19/2015 10:00,THEFT F/AUTO,OTHERS,300 - 399 BLOCK OF 61ST STREET NE,6,7,7C,007808 2,7808,407489,136207
9/20/2015 2:00,MOTOR VEHICLE THEFT,OTHERS,5100 - 5298 BLOCK OF FITCH STREET SE,6,7,7E,007707 1,7707,406235,134777
9/20/2015 20:15,THEFT/OTHER,OTHERS,400 - 457 BLOCK OF MASSACHUSETTS AVENUE NW,1,2,2C,005900 1,5900,398508,136963
9/20/2015 21:10,ROBBERY,OTHERS,OTIS PLACE NW AND 13TH STREET NW,4,1,1A,002900 2,2900,397422.6,140743.34
9/20/2015 22:00,ROBBERY,GUN,1440 - 1699 BLOCK OF EVARTS STREET NE,5,5,5C,009102 1,9102,401546,139626
9/20/2015 22:45,BURGLARY,OTHERS,300 - 409 BLOCK OF 50TH STREET NE,6,7,7C,007804 2,7804,406139,136306
9/20/2015 14:00,MOTOR VEHICLE THEFT,OTHERS,1100 - 1199 BLOCK OF CLIFTON STREET NW,3,1,1B,003600 3,3600,397611,139395
9/20/2015 17:00,MOTOR VEHICLE THEFT,OTHERS,5000 - 5099 BLOCK OF CALL PLACE SE,6,7,7E,009904 2,9904,406101,135185
9/20/2015 20:00,THEFT F/AUTO,OTHERS,1 - 99 BLOCK OF 15TH STREET SE,1,6,6B,006700 1,6700,401418,135710
9/21/2015 7:45,THEFT/OTHER,OTHERS,37TH STREET NW AND O STREET NW,2,2,2E,000201 1,201,393789.01,137759.8899
9/21/2015 3:00,MOTOR VEHICLE THEFT,OTHERS,1900 - 2199 BLOCK OF RIDGECREST COURT SE,7,8,8E,007403 1,7403,402201,131112
9/19/2015 7:30,BURGLARY,OTHERS,400 - 499 BLOCK OF RHODE ISLAND AVENUE NE,5,5,5E,008702 1,8702,399995,139118
9/21/2015 10:15,THEFT/OTHER,OTHERS,1900 - 1999 BLOCK OF 7TH STREET NW,3,1,1B,004400 2,4400,398099,138672
9/21/2015 12:27,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF INDIANA AVENUE NW,1,2,2C,005900 1,5900,398319,136303
9/21/2015 12:50,THEFT/OTHER,OTHERS,3600 - 3699 BLOCK OF 12TH STREET NE,5,5,5B,009301 2,9301,400770,140681
9/21/2015 12:00,ASSAULT W/DANGEROUS WEAPON,GUN,300 - 409 BLOCK OF 50TH STREET NE,6,7,7C,007804 2,7804,406139,136306
10/6/2015 14:20,THEFT/OTHER,OTHERS,1 - 99 BLOCK OF H STREET NW,1,6,6E,004702 1,4702,399078,136928
10/6/2015 12:00,THEFT/OTHER,OTHERS,3319 - 3499 BLOCK OF CONNECTICUT AVENUE NW,2,3,3C,001302 2,1302,394964.33,140772.69
10/6/2015 16:41,THEFT F/AUTO,OTHERS,1600 - 1699 BLOCK OF K STREET NW,2,2,2B,010700 1,10700,396744.98,137186.27
10/6/2015 14:00,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 8TH STREET NE,1,6,6C,008302 1,8302,400436,136696
10/6/2015 18:00,THEFT F/AUTO,OTHERS,300 399  BLOCK OF DIVISION AVENUE NE,6,7,7C,007804 2,7804,406341,136340
10/6/2015 20:08,ROBBERY,OTHERS,1500 - 1599 BLOCK OF OLIVE STREET NE,6,7,7D,009601 1,9601,405665,137980
10/6/2015 21:34,THEFT F/AUTO,OTHERS,1900 - 1999 BLOCK OF C STREET NE,5,6,6A,008002 1,8002,402017,136161
10/6/2015 21:52,THEFT F/AUTO,OTHERS,1200 - 1299 BLOCK OF EVARTS STREET NE,5,5,5B,009302 1,9302,400937.45,139620.08
10/6/2015 22:30,ROBBERY,OTHERS,2500 - 2599 BLOCK OF 18TH STREET NE,5,5,5C,009102 1,9102,401821,139447
10/6/2015 8:41,BURGLARY,OTHERS,600 - 898 BLOCK OF BRANDYWINE STREET SE,7,8,8E,009802 2,9802,400331,129143
10/7/2015 3:04,SEX ABUSE,OTHERS,3100 - 3199 BLOCK OF FORT LINCOLN DRIVE NE,5,5,5C,009000 1,9000,403521,139838
10/6/2015 15:00,THEFT/OTHER,OTHERS,400  - 499 BLOCK OF DECATUR STREET NW,4,4,4C,002202 2,2202,398398,142289
10/6/2015 22:00,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF KENYON STREET NW,3,1,1A,003000 1,3000,397281.24,140197.68
10/7/2015 8:20,THEFT F/AUTO,OTHERS,3300  - 3399 BLOCK OF MORRISON STREET NW,2,4,3G,001401 1,1401,394193,144011
10/7/2015 11:40,THEFT/OTHER,OTHERS,3200 - 3275 BLOCK OF M STREET NW,2,2,2E,000202 4,202,394449,137479
10/6/2015 13:57,THEFT/OTHER,OTHERS,3821 3938  BLOCK OF PENNSYLVANIA AVENUE SE,6,7,7B,007603 1,7603,404286,133055
10/7/2015 13:30,ROBBERY,GUN,2800 - 2899 BLOCK OF SHIPLEY TERRACE SE,7,8,8B,007408 1,7408,402886,131330
10/7/2015 14:15,THEFT F/AUTO,OTHERS,301 - 399 BLOCK OF 53RD STREET SE,6,7,7E,009905 1,9905,406388,135097
10/7/2015 16:51,THEFT/OTHER,OTHERS,33 - 119 BLOCK OF T STREET NE,5,5,5E,008701 1,8701,399446,138633
10/7/2015 11:00,THEFT F/AUTO,OTHERS,900 - 999 BLOCK OF 4TH STREET NW,1,6,6E,004702 1,4702,398596,137118
10/7/2015 14:30,THEFT F/AUTO,OTHERS,1000 - 1199 BLOCK OF VARNUM STREET NE,4,5,5B,009504 2,9504,400742,141663
9/21/2015 10:43,THEFT F/AUTO,OTHERS,900  - 998 BLOCK OF RANDOLPH STREET NW,4,4,4C,002502 2,2502,397750,141199
9/21/2015 13:20,ROBBERY,GUN,2300 - 2399 BLOCK OF BRANCH AVENUE SE,6,7,7B,007603 2,7603,403566,132599
9/19/2015 12:00,THEFT F/AUTO,OTHERS,1610 - 1631 BLOCK OF COLUMBIA ROAD NW,3,1,1C,003800 3,3800,396754,139785
9/21/2015 13:55,THEFT/OTHER,OTHERS,2400 - 2499 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,8,8A,007401 1,7401,400591,132715
9/21/2015 13:00,THEFT/OTHER,OTHERS,290 - 399 BLOCK OF TAYLOR STREET NE,4,5,5A,009501 3,9501,399884,141428
9/21/2015 16:00,THEFT F/AUTO,OTHERS,400 - 499 BLOCK OF K STREET NW,1,6,6E,004702 1,4702,398477,137185
9/21/2015 17:30,THEFT F/AUTO,OTHERS,1820 - 1899 BLOCK OF 9TH STREET NW,3,1,1B,004400 2,4400,397921,138592
9/21/2015 13:15,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF U STREET NW,3,2,2B,004300 2,4300,397117,138792
9/21/2015 15:30,THEFT/OTHER,OTHERS,2200 - 2298 BLOCK OF WISCONSIN AVENUE NW,2,3,3B,000300 1,300,393839,139090
9/21/2015 16:23,THEFT F/AUTO,OTHERS,742  - 828 BLOCK OF ROCK CREEK CHURCH ROAD NW,4,1,1A,003200 1,3200,397945,140954
9/21/2015 18:45,THEFT F/AUTO,OTHERS,900 - 1199 BLOCK OF 4TH STREET SW,1,6,6D,010200 2,10200,398469,134448
9/21/2015 21:25,THEFT/OTHER,OTHERS,3600 - 3699 BLOCK OF 12TH STREET NE,5,5,5B,009301 2,9301,400770,140681
9/21/2015 22:52,THEFT/OTHER,OTHERS,400 497  BLOCK OF L STREET NW,1,6,6E,004701 2,4701,398477,137319
9/21/2015 14:15,BURGLARY,OTHERS,2800 - 2899 BLOCK OF ERIE STREET SE,6,7,7B,007603 4,7603,402904,132166
9/22/2015 9:05,THEFT/OTHER,OTHERS,4600 - 4799 BLOCK OF SOUTH CAPITOL STREET,7,8,8D,010900 2,10900,399848,128205
9/21/2015 22:00,BURGLARY,OTHERS,1900 - 1999 BLOCK OF CONNECTICUT AVENUE NW,3,2,2D,004100 1,4100,395965,138725
9/22/2015 9:12,ASSAULT W/DANGEROUS WEAPON,GUN,100 - 199 BLOCK OF 36TH STREET NE,6,7,7F,009603 3,9603,404085,135978
9/22/2015 10:29,THEFT/OTHER,OTHERS,700 - 899 BLOCK OF PARK ROAD NW,3,1,1A,003100 1,3100,397805,140555
9/22/2015 10:07,THEFT F/AUTO,OTHERS,1712 - 1731 BLOCK OF 22ND STREET SE,7,8,8A,007601 3,7601,402172,133414
9/22/2015 10:13,BURGLARY,OTHERS,900  - 999 BLOCK OF EMERSON STREET NW,4,4,4D,002201 3,2201,397720,142428
9/22/2015 11:38,THEFT F/AUTO,OTHERS,1500 - 1524 BLOCK OF OGDEN STREET NW,4,1,1A,002801 2,2801,396975,140852
10/7/2015 17:04,THEFT/OTHER,OTHERS,1600 - 1699 BLOCK OF MARYLAND AVENUE NE,5,5,5D,008904 2,8904,401740,137077
10/7/2015 7:15,BURGLARY,OTHERS,100 - 199 BLOCK OF 48TH PLACE NE,6,7,7C,007804 3,7804,405734,135922
10/7/2015 18:00,THEFT/OTHER,OTHERS,1400 - 1451 BLOCK OF IRVING STREET NW,3,1,1A,002802 1,2802,397083,140096
10/7/2015 8:00,BURGLARY,OTHERS,1400  - 1499 BLOCK OF ROXANNA ROAD NW,4,4,4A,001600 1,1600,397131,146728
10/7/2015 19:34,THEFT F/AUTO,OTHERS,3100 - 3199 BLOCK OF 35TH STREET NW,2,3,3C,000600 3,600,394049,140468
10/7/2015 20:04,THEFT/OTHER,OTHERS,6500  - 6599 BLOCK OF GEORGIA AVENUE NW,4,4,4A,001804 2,1804,397633,144615
10/7/2015 20:00,ASSAULT W/DANGEROUS WEAPON,KNIFE,RHODE ISLAND AVENUE NE AND MILLS AVENUE NE,5,5,5C,009400 2,9400,402181.8273,140203.2239
10/7/2015 18:15,THEFT F/AUTO,OTHERS,1000 - 1099 BLOCK OF VERMONT AVENUE NW,2,2,2F,010100 1,10100,397101,137254
10/3/2015 14:00,THEFT/OTHER,OTHERS,1300 - 1699 BLOCK OF CONNECTICUT AVENUE NW,2,2,2B,005500 1,5500,396217,138008
10/7/2015 22:47,MOTOR VEHICLE THEFT,OTHERS,BENNING ROAD SE AND SOUTHERN AVENUE SE,6,7,7E,007707 1,7707,405987.31,134246.4
10/7/2015 12:00,THEFT/OTHER,OTHERS,2100 - 2199 BLOCK OF G STREET NW,2,2,2A,010800 3,10800,395858,136720
10/8/2015 1:17,THEFT/OTHER,OTHERS,15TH STREET NW AND ALLISON STREET NW,4,4,4C,002501 2,2501,397007.9,141908.07
10/7/2015 19:00,THEFT F/AUTO,OTHERS,500 - 511 BLOCK OF 6TH STREET NE,1,6,6C,008301 2,8301,400134,136507
10/7/2015 18:00,THEFT/OTHER,OTHERS,400 499  BLOCK OF 7TH STREET SE,1,6,6B,007000 1,7000,400331,135045
10/7/2015 9:25,SEX ABUSE,OTHERS,1290 1408  BLOCK OF ALABAMA AVENUE SE,7,8,8E,007304 1,7304,401146,130808
10/8/2015 10:05,ROBBERY,OTHERS,MINNESOTA AVENUE SE AND GOOD HOPE ROAD SE,7,8,8A,007605 3,7605,401357.25,133201.54
10/7/2015 22:00,THEFT F/AUTO,OTHERS,400 - 499 BLOCK OF H STREET NW,1,2,2C,005900 1,5900,398476,136882
10/7/2015 20:00,THEFT F/AUTO,OTHERS,3600 - 3699 BLOCK OF 39TH STREET NW,2,3,3C,001002 3,1002,393264,141057
10/7/2015 23:30,THEFT/OTHER,OTHERS,300 - 399 BLOCK OF N STREET SW,1,6,6D,011000 4,11000,398556,134091
10/8/2015 13:12,BURGLARY,OTHERS,5300  - 5399 BLOCK OF 8TH STREET NW,4,4,4D,002101 4,2101,397923,142980
10/8/2015 14:51,THEFT/OTHER,OTHERS,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,4,4,4A,001804 2,1804,397577,143785
9/19/2015 16:00,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 11TH STREET NW,1,2,2C,005800 1,5800,397654,136665
9/19/2015 16:40,THEFT/OTHER,OTHERS,2000 - 2099 BLOCK OF PENNSYLVANIA AVENUE NW,2,2,2A,010800 1,10800,396029,137018
9/19/2015 17:18,THEFT/OTHER,OTHERS,4000 - 4099 BLOCK OF BRANDYWINE STREET NW,2,3,3E,001100 4,1100,393102,142423
9/19/2015 16:40,BURGLARY,OTHERS,3000 - 3079 BLOCK OF 32ND STREET NW,2,3,3C,000502 1,502,394515,140197
9/19/2015 17:00,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF H STREET NE,1,6,6A,008402 1,8402,400930,136927
9/19/2015 8:30,THEFT F/AUTO,OTHERS,ARKANSAS AVENUE NW AND ALLISON STREET NW,4,4,4C,002501 1,2501,397251.97,141907.93
9/19/2015 16:00,THEFT F/AUTO,OTHERS,QUINCY STREET NW AND GEORGIA AVENUE NW,4,4,4C,002502 2,2502,397875.97,141080.6
9/19/2015 15:29,THEFT/OTHER,OTHERS,3300 - 3398 BLOCK OF CONNECTICUT AVENUE NW,2,3,3C,000600 2,600,395016.15,140658.57
9/19/2015 18:10,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF 11TH STREET NW,3,2,2F,005002 1,5002,397654,137620
9/19/2015 18:36,THEFT/OTHER,OTHERS,3844 - 3899 BLOCK OF MINNESOTA AVENUE NE,6,7,7F,009603 3,9603,404284,136147
9/19/2015 15:00,THEFT/OTHER,OTHERS,300 - 399 BLOCK OF RHODE ISLAND AVENUE NE,5,5,5E,008702 1,8702,399887,139069
9/19/2015 20:03,THEFT/OTHER,OTHERS,2500 - 2699 BLOCK OF PENNSYLVANIA AVENUE SE,6,7,7B,007604 1,7604,402603,133930
9/19/2015 20:35,THEFT F/AUTO,OTHERS,2100 - 2199 BLOCK OF 14TH STREET NW,3,1,1B,004300 1,4300,397229,138975
9/19/2015 19:30,THEFT F/AUTO,OTHERS,1400 - 1509 BLOCK OF MERIDIAN PLACE NW,4,1,1A,002801 1,2801,397029,140633
9/19/2015 21:00,THEFT/OTHER,OTHERS,5TH STREET NW AND I STREET NW,1,6,6E,004702 1,4702,398358.24,137052.22
9/19/2015 10:00,BURGLARY,OTHERS,2200 - 2299 BLOCK OF M STREET NW,2,2,2A,005500 3,5500,395709,137490
9/19/2015 9:08,ROBBERY,OTHERS,3506 - 3540 BLOCK OF 14TH STREET NW,4,1,1A,002801 2,2801,397162,140804
9/19/2015 21:45,THEFT F/AUTO,OTHERS,1 - 99 BLOCK OF L STREET NE,1,6,6C,010600 2,10600,399351,137319
9/19/2015 22:25,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF 2ND STREET NE,5,6,6C,010600 2,10600,399695,137774
9/19/2015 21:49,BURGLARY,OTHERS,893 - 1099 BLOCK OF BELLEVUE STREET SE,7,8,8E,009700 1,9700,400938,129376
9/19/2015 22:44,ASSAULT W/DANGEROUS WEAPON,OTHERS,300  - 399 BLOCK OF DELAFIELD PLACE NW,4,4,4D,002202 2,2202,398560,142378
9/19/2015 23:30,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF 2ND STREET NE,5,6,6C,010600 2,10600,399695,137774
9/19/2015 15:00,THEFT F/AUTO,OTHERS,800 - 899 BLOCK OF N STREET NW,3,2,2F,004902 2,4902,397965,137709
9/19/2015 22:20,THEFT F/AUTO,OTHERS,1200 - 1299 BLOCK OF I STREET SE,1,6,6B,007100 2,7100,400930,134605
9/20/2015 0:15,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF U STREET NW,,1,1B,004400 2,4400,397330,138792
9/20/2015 0:31,MOTOR VEHICLE THEFT,OTHERS,1500 - 1599 BLOCK OF KINGMAN PLACE NW,3,2,2F,005001 2,5001,397320,138058
